EAN;EK;sofortLieferbar;lieferbarAb;Menge;Lebenszyklus;Nachfolger
4007134016095;104.2;1;;;;
4007134016101;104.2;1;;;;
4007134016118;50;1;;;;
4007134016125;50;1;;;;
4007134016132;50;1;;;;
4007134016149;58.4;1;;;;
4007134016156;58.4;1;;;;
4007134016163;58.4;1;;;;
4007134016194;58.5;1;;;;
4007134016200;33.4;1;;;;
4007134016217;108.5;1;;;;
4007134016224;108.5;1;;;;
4007134016231;108.5;1;;;;
4007134016248;108.5;1;;;;
4007134016255;192;1;;;;
4007134016262;125.4;1;;;;
4007134016279;125.4;1;;;;
4007134016286;125.4;1;;;;
4007134016293;125.4;1;;;;
4007134016309;209;1;;;;
4007134016439;41.8;1;;;;
4007134016446;50.1;1;;;;
4007134016453;58.5;1;;;;
4007134016460;12.5;1;;;;
4007134016705;79.6;1;;;;
4007134016712;79.6;1;;;;
4007134016729;79.6;1;;;;
4007134016736;79.6;1;;;;
4007134016743;142;1;;;;
4007134016750;91.6;0;;;;
4007134016767;91.6;1;;;;
4007134016774;91.6;1;;;;
4007134016781;91.6;1;;;;
4007134016798;155;1;;;;
4007134016835;13;1;;;;
4007134016842;15.4;1;;;;
4007134017016;28.9;1;;;;
4007134017030;18.2;1;;;;
4007134017047;28.3;1;;;;
4007134017054;30.9;1;;;;
4007134017061;14.8;1;;;;
4007134017078;30.2;1;;;;
4007134017085;39;1;;;;
4007134017092;37;1;;;;
4007134017108;33.5;1;;;;
4007134017115;47.1;1;;;;
4007134017122;43.7;1;;;;
4007134017139;53.8;1;;;;
4007134017146;80.7;1;;;;
4007134017153;60.5;1;;;;
4007134017160;33.6;1;;;;
4007134017177;33.6;1;;;;
4007134017184;40.4;1;;;;
4007134017191;47.1;1;;;;
4007134017207;67.3;1;;;;
4007134017214;13.1;1;;;;
4007134017238;13.1;1;;;;
4007134017252;37;0;;;;
4007134017276;37;1;;;;
4007134017290;55;1;;;;
4007134017313;62.3;1;;;;
4007134017337;114.3;1;;;;
4007134017351;134.45;1;;;;
4007134017368;154.65;1;;;;
4007134017788;23.1;1;;;;
4007134017795;26.9;1;;;;
4007134017801;38.5;1;;;;
4007134017818;46.2;1;;;;
4007134017863;23.1;1;;;;
4007134017931;15;1;;;;
4007134017948;23.3;1;;;;
4007134017955;40;1;;;;
4007134017962;25;1;;;;
4007134017979;33.3;1;;;;
4007134017986;50;1;;;;
4007134018044;14.3;1;;;;
4007134018068;14.3;1;;;;
4007134018082;16.3;1;;;;
